id,text
"657","Email me a better price"
"658","<font size=""1"">(Required for Visa, MasterCard, AMEX &amp; Discover)</font>"
"659","Extended Information"
"660","Features"
"661","New Products"
"662","Super Deals!"
"663","Top Sellers"
"664","<b>The following items are included <font color=CC0000>FREE</font> with this product:</b><br>"
"665","Don't Forget..."
"666","Related Products..."
"667","SDS & Technical Specs"
"668","Alternative Views:"
"669","<font face=""Arial"" size=""2""><b>Choose a sub category:</b></font>"
"670","Shipping to {0}"
"671","Sorry, you do not have access to the page you were trying to reach."
"672","First, Select Country"
"673","To add items to your cart, you must first login with your account, or register below."
"674","Shipping Cost"
"675","{0}, you've received a Gift Certificate!"
"676","You've received a Gift Certificate!"
"677","Carrier"
"678","Tracking Number"
"679","Date Shipped"
"680","Click here to DOWNLOAD your software now."
"681","1 or more items in your order have shipped..."
"682","Your order has shipped..."
"683","The product you want is in stock at {0}"
"684","<b>You have already written a review for this product.</b><br><br>If you would like to edit your review, you may <a href=""{0}"">login to your account</a> to do so."
"685","Submit Review"
"686","Send as a gift"
"687","Please enter the following code into the box provided:"
"688","Monthly cost after first {0} months: {1}"
"689","{0} of <a href=""{1}"" onclick=""{2}"">{3}</a> ({4} value!)"
"690","Average Customer Review:"
"691","Based on {0} reviews"
"692","{0} <span class=""product_code"">({1})</span>"
"693","<font size=2><b>Payment Settings</b></font>"
"694","I wish to receive occassional newsletter emails from Factor II, Inc. regarding new products, upcoming training events and sales."
"695","You save {0} every {1} month(s)!"
"696","Free Shipping!"
"697","More Info"
"698","We found {0} results matching your criteria."
"699","Availability"
"700","Recent History"
"701","Customer Feedback for {0}"
"702","My Categories"
"703","My Categories"
"704","My Categories"
"705","My Categories"
"706","My Categories"
"707","My Categories"
"708","My Categories"
"709","My Categories"
"710","Find by Pricing"
"711","Below {0} ({1})"
"712","{0} and Above ({1})"
"713","{0} to {1} ({2})"
"714","Find by Brand"
"715","{0} ({1})"
"716","Find by Category"
"717","We're sorry but there are only {0} items available of this product ({1})."
"718","We're sorry but this item ({0}) has no more available stock."
"719","<b>Order History</b>"
"720","{0} of : <a href=""{1}"">{2}</a> {3}"
"721","Home"
"722","Show me Shipping Choices"
"723","Did you mean: "
"724","<div class=""refinement_filter""><a href=""javascript: void(0);"" onclick=""{0}"">{1}</a></div>"
"725","For security purposes, you must login prior to downloading. Thank you."
"726","The file you are attempting to access does not exist"
"727","Your session has expired. Please login again."
"728","Points to redeem must be numeric."
"729","Points to redeem must be greater than the minimum points of {0}."
"730","You do not have enough available points to redeem."
"731","Congratulations! You have turned {0} points into {1}"
"732","You'll earn <b>{0} points</b>"
"733","My Rewards"
"734","Tax"
"735","Select"
"736","Dear Customer,"
"737","Our current low price for the"
"738","is"
"739","To purchase this item at this price, click this link:"
"740","Thank you for shopping at "
"741","No exact matches found for {0}.  Result for {1} ({2})"
"742","<div style=""color:#666; font-size:18px""><b>Review your order:</b></div><br />"
"743","<div style=""color:#666; font-size:18px""><b>Review your purchased product(s):</b></div><br />"
"744","<div style=""color:#666; font-size:18px""><b>Your personal information:</b></div><br />"
"745","Thank you for submitting your review!"
"746","You may only review an order once."
"750","<b>Order#:</b>"
"751","<b>Overall rate:</b>"
"752","<b>Price:</b>"
"753","<b>Product quality:</b>"
"754","<b>Shipping options:</b>"
"755","<b>Delivery:</b>"
"756","<b>Ease of purchase:</b>"
"757","<b>Sales/Service:</b>"
"758","<b>Support/Service:</b>"
"759","<b>Website:</b>"
"760","<b>Review:</b>"
"761","CLICK HERE TO VIEW MOBILE EXPERIENCE"
"762","Please select a valid product to review."
"763","Edit Gift Wrap and Gift Options"
"764","Your order subtotal (before shipping & tax) must be at least {0}. This change would bring the total cost of your order to only {1}."
"765","This online system has a maximum order total (before shipping & tax) of {0}. This change would bring the total cost of your order to {1}."
"766","BALANCE"
"767","This item has not been added to your cart. The following kit item currently has no available stock: {0}"
"768","This item has a minimum order requirement of {0} and available stock is not sufficient to meet that requirement: {1}"
